date,price_usd,volume_btc,num_trades,source
2011-08-28,8.97140443,24155.28176322,4920,mtgox
2011-08-29,8.93303084,21651.28245057,15976,mtgox
2011-08-30,8.77698293,11773.82396374,4648,mtgox
2011-08-31,8.35147304,19648.24096638,3643,mtgox
2011-09-01,8.22229446,11903.52969436,2938,mtgox
2011-09-02,8.44359702,16814.5489286,3195,mtgox
2011-09-03,8.53096882,6944.98677552,2805,mtgox
2011-09-04,8.17434518,19673.48579811,3573,mtgox
2011-09-05,7.61955506,30798.75433393,6071,mtgox
2011-09-06,6.73110028,82496.04657068,7488,mtgox
2011-09-07,7.02702792,49642.1025069,6009,mtgox
2011-09-08,6.80193605,31886.33156535,5528,mtgox
2011-09-09,5.31019877,217433.29036018,13000,mtgox
2011-09-10,5.02563089,44484.52700573,5441,mtgox
2011-09-11,6.07131913,143792.5793223,13680,mtgox
2011-09-12,6.04001188,63864.03783182,6443,mtgox
2011-09-13,5.83704095,23759.2767603,3575,mtgox
2011-09-14,5.5564915,43768.26143524,4213,mtgox
2011-09-15,4.98142241,86220.92069223,7952,mtgox
2011-09-16,4.81528059,31651.08778823,6075,mtgox
2011-09-17,4.80628938,20303.07918957,4773,mtgox
2011-09-18,5.14227882,44623.90130131,5045,mtgox
2011-09-19,5.28922093,49836.79334533,9019,mtgox
2011-09-20,6.11070231,116750.9839094,10429,mtgox
2011-09-21,5.63224255,68164.47320197,11314,mtgox
2011-09-22,5.53722077,31651.00179563,5830,mtgox
2011-09-23,5.61211433,55667.98378796,5489,mtgox
2011-09-24,5.45286754,17944.2335052,11063,mtgox
2011-09-25,5.40599379,9487.26362478,2517,mtgox
2011-09-26,4.95765211,56072.39106435,7381,mtgox
2011-09-27,4.92440068,24645.36640217,5210,mtgox
2011-09-28,4.77093252,30625.20664532,4256,mtgox
2011-09-29,4.74121701,14092.8851612,3579,mtgox
2011-09-30,5.01793189,41459.06945508,4801,mtgox
2011-10-01,5.05233976,23460.74019219,4982,mtgox
2011-10-02,4.98485036,10457.31027153,2895,mtgox
2011-10-03,4.96730001,17289.250361,2969,mtgox
2011-10-04,4.96267786,15793.44483585,3422,mtgox
2011-10-05,4.89624092,17586.46309821,2231,mtgox
2011-10-06,4.68700384,54773.49257253,4310,mtgox
2011-10-07,4.28914258,97547.35268216,6915,mtgox
2011-10-08,4.03050943,39611.94309171,5217,mtgox
2011-10-09,4.18675865,37920.06224686,4974,mtgox
2011-10-10,4.10413647,16858.24419247,4901,mtgox
2011-10-11,3.94774806,41104.07716903,5029,mtgox
2011-10-12,4.07049475,69399.52738799,7635,mtgox
2011-10-13,4.078789,19706.16675451,3593,mtgox
2011-10-14,4.01226323,20054.55190042,3377,mtgox
2011-10-15,3.89265674,42092.41535423,3988,mtgox
2011-10-16,3.63842012,36200.88480338,4527,mtgox
2011-10-17,2.85354961,207426.66356439,18822,mtgox
2011-10-18,2.61585269,87859.09170384,8634,mtgox
2011-10-19,2.28071553,101864.85357976,8690,mtgox
2011-10-20,2.31369932,48859.47906274,7807,mtgox
2011-10-21,2.53918835,72971.10888701,7633,mtgox
2011-10-22,3.00522379,120163.90979681,7420,mtgox
2011-10-23,3.08120739,37044.29104821,4756,mtgox
2011-10-24,2.80628291,92232.42690478,7358,mtgox
2011-10-25,2.74285836,101412.11479739,12373,mtgox
2011-10-26,2.75085268,29400.7368759,6428,mtgox
2011-10-27,2.91863312,58696.09580527,6430,mtgox
2011-10-28,3.10891687,52365.1901171,6381,mtgox
2011-10-29,3.54472876,79542.89557792,8236,mtgox
2011-10-30,3.38210702,50686.72673551,5120,mtgox
2011-10-31,3.18637581,30980.5249082,4906,mtgox
2011-11-01,3.1859815,37893.47244792,5146,mtgox
2011-11-02,3.23487449,32311.05067026,4689,mtgox
2011-11-03,3.211861,24520.65041752,2376,mtgox
2011-11-04,3.12741089,39513.12845304,4486,mtgox
2011-11-05,3.01280897,52964.47519807,4000,mtgox
2011-11-06,2.96171609,17232.26916969,1695,mtgox
2011-11-07,2.99935045,23992.22928706,2843,mtgox
2011-11-08,3.08999831,60336.67038009,4673,mtgox
2011-11-09,3.00134407,52195.10614996,5070,mtgox
2011-11-10,2.87058772,33928.7628307,3512,mtgox
2011-11-11,2.97218751,44853.17480679,4560,mtgox
2011-11-12,3.05770834,20383.25702369,2171,mtgox
2011-11-13,3.00135492,9624.99632929,1837,mtgox
